time,HGF,HGF_obs,unit_HGFs
0,40,32.7153502985218,ng/ml
0,40,33.3245927072734,ng/ml
0,40,35.3927012920835,ng/ml
5,40,28.6040001659935,ng/ml
5,40,29.262976648929,ng/ml
5,40,30.8793340599028,ng/ml
15,40,26.8798855942881,ng/ml
15,40,28.740768869999,ng/ml
15,40,28.6786012772692,ng/ml
30,40,26.5234580626375,ng/ml
30,40,25.8313255302462,ng/ml
30,40,28.9065491172784,ng/ml
60,40,30.0587218358699,ng/ml
60,40,28.8733930678225,ng/ml
60,40,27.7253648554129,ng/ml
180,40,23.4938240436071,ng/ml
180,40,23.6264482414306,ng/ml
180,40,23.543558117791,ng/ml
360,40,18.5038386004983,ng/ml
360,40,20.0787509496523,ng/ml
360,40,17.1983191531733,ng/ml
1100,40,11.6819814249525,ng/ml
1100,40,12.0218309318752,ng/ml
1100,40,14.164540627961,ng/ml
1440,40,9.22843376521791,ng/ml
1440,40,9.82524265542362,ng/ml
1440,40,10.2023927179842,ng/ml
2640,40,3.32251245589058,ng/ml
2640,40,2.87905029441828,ng/ml
2640,40,2.60551288640733,ng/ml
